Player,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS/48,MP
Shareef Abdur-Rahim,12.3,5,2.1,0.7,0.6,0.525,0.227,0.784,0.152,27.2
Alex Acker,1.8,1,0.8,0.2,0,0.25,0.2,,-0.23,7
Malik Allen,4.9,2.6,0.4,0.3,0.3,0.49,1,0.605,0.068,13
Ray Allen,25.1,4.3,3.7,1.3,0.2,0.454,0.412,0.903,0.15,38.7
Tony Allen,7.2,2.2,1.3,1,0.4,0.471,0.324,0.746,0.082,19.2
Rafer Alston,12.1,4,6.7,1.6,0.2,0.379,0.327,0.692,0.067,38.6
Chris Andersen,5,4.8,0.2,0.3,1.3,0.571,,0.476,0.112,17.8
Alan Anderson,5.8,1.9,0.9,0.3,0.1,0.414,0.414,0.805,0.037,15.7
Derek Anderson,8.1,3.3,2.3,0.5,0.1,0.356,0.299,0.838,0.074,24.3
Shandon Anderson,2.6,1.7,0.6,0.4,0.1,0.429,0.263,0.722,0.039,13.3
Martynas Andriuškevičius,0,0.7,0,0.3,0,0,,,0.155,1.5
Carmelo Anthony,26.5,4.9,2.7,1.1,0.5,0.481,0.243,0.808,0.153,36.8
Rafael Araújo,2.3,2.8,0.3,0.5,0.1,0.366,0,0.536,-0.066,11.6
Gilbert Arenas,29.3,3.5,6.1,2,0.3,0.447,0.369,0.82,0.193,42.3
Trevor Ariza,4.6,3.8,1.1,1,0.2,0.412,0.2,0.606,0.043,17.5
Darrell Armstrong,2.1,1.3,1.4,0.4,0,0.336,0.229,0.786,0.003,10
Carlos Arroyo,5.8,1.7,3,0.5,0.1,0.444,0.35,0.774,0.107,15.5
Chucky Atkins,9.5,1.7,2.8,0.6,0,0.394,0.354,0.791,0.1,24.1
Stacey Augmon,2,1.5,0.6,0.3,0.2,0.342,,0.7,0.033,10.7
Vin Baker,3.4,2.4,0.5,0.5,0.5,0.467,,0.722,0.072,10.6
Marcus Banks,10,2.3,3.8,0.9,0.2,0.468,0.349,0.803,0.074,25.8
Leandro Barbosa,13.1,2.6,2.8,0.8,0.1,0.481,0.444,0.755,0.115,27.9
Matt Barnes,3.1,2.2,0.5,0.4,0.1,0.5,0.2,0.681,0.075,11.3
Andre Barrett,4.6,1.3,2.7,0.5,0,0.365,0.143,0.75,-0.019,14.8
Earl Barron,1.6,1.3,0,0,0,0.313,,0.75,-0.167,5.6
Brent Barry,5.8,2.1,1.7,0.5,0.4,0.452,0.396,0.661,0.162,17
Jon Barry,4.3,1.6,1.3,0.7,0.1,0.385,0.375,0.828,0.055,17.1
Eddie Basden,2.1,1.5,0.4,0.5,0.1,0.405,0.143,0.8,0.065,7.4
Brandon Bass,2.3,2.3,0.1,0.1,0.2,0.4,,0.632,0.013,9.2
Esteban Batista,1.8,2.5,0.1,0.3,0.2,0.425,0,0.623,0.011,8.7
Tony Battie,7.9,5.6,0.6,0.6,0.8,0.507,0,0.664,0.083,27
Shane Battier,10.1,5.3,1.7,1.1,1.4,0.488,0.394,0.707,0.153,35
Lonny Baxter,2.9,2.9,0.1,0.3,0.2,0.433,,0.8,0.088,9.8
Charlie Bell,8.4,2,2.2,1,0.1,0.439,0.423,0.708,0.123,21.7
Raja Bell,14.7,3.2,2.6,1,0.3,0.457,0.442,0.788,0.11,37.5
Jonathan Bender,5,2,1,0,0.5,0.8,,1,0.359,10.5
Mike Bibby,21.1,2.9,5.4,1,0.1,0.432,0.386,0.849,0.127,38.6
Andris Biedriņš,3.8,4.2,0.4,0.3,0.7,0.638,,0.306,0.137,14.7
Chauncey Billups,18.5,3.1,8.6,0.9,0.1,0.418,0.433,0.894,0.254,36.1
Steve Blake,8.2,2.1,4.5,0.6,0.1,0.438,0.413,0.791,0.076,26.2
Andray Blatche,2.2,1.3,0.3,0.2,0.2,0.388,0.231,0.833,0.026,6
Mark Blount,11.3,4.5,1.2,0.5,0.9,0.508,,0.757,0.037,27.7
Keith Bogans,8.6,3.5,1.8,1,0.1,0.395,0.325,0.683,0.058,26.6
Andrew Bogut,9.4,7,2.3,0.6,0.8,0.533,0,0.629,0.113,28.6
Matt Bonner,7.5,3.6,0.7,0.6,0.4,0.448,0.42,0.829,0.114,21.9
Calvin Booth,1.4,1.6,0.4,0.3,0.3,0.426,0.5,0.556,0.07,7.6
Carlos Boozer,16.3,8.6,2.7,0.9,0.2,0.549,,0.723,0.162,31.1
Chris Bosh,22.5,9.2,2.6,0.7,1.1,0.505,0,0.816,0.17,39.3
Bruce Bowen,7.5,3.9,1.5,1,0.4,0.433,0.424,0.607,0.108,33.6
Ryan Bowen,1.3,1.3,0.4,0.3,0.1,0.298,0.136,0.786,0.012,9.6
Earl Boykins,12.6,1.4,3.8,0.8,0.1,0.41,0.346,0.874,0.09,25.7
Michael Bradley,1.5,2.3,0.4,0.1,0.2,0.405,0.2,0.667,0.019,8
Elton Brand,24.7,10,2.6,1,2.5,0.527,0.333,0.775,0.229,39.2
Primož Brezec,12.4,5.6,0.6,0.2,0.4,0.517,0,0.732,0.102,27.4
Devin Brown,7.5,2.6,1.3,0.5,0.2,0.393,0.331,0.745,0.041,21.1
Kwame Brown,7.4,6.6,1,0.4,0.6,0.526,0,0.545,0.088,27.5
P.J. Brown,9,7.3,1.2,0.6,0.7,0.461,,0.827,0.088,31.7
Rick Brunson,2,0.8,1.3,0.3,0,0.389,0.385,0.583,-0.025,9.1
Kobe Bryant,35.4,5.3,4.5,1.8,0.4,0.45,0.347,0.85,0.224,41
Greg Buckner,6.7,2.9,1.7,1.2,0.3,0.434,0.354,0.782,0.103,24.1
Pat Burke,3.4,1.7,0.4,0.1,0.3,0.496,0.286,0.619,0.009,8.2
Antonio Burks,2,0.6,1.3,0.4,0,0.354,0.167,0.435,-0.033,10
Kevin Burleson,1.8,0.7,1.2,0.7,0.1,0.25,0.185,0.941,-0.032,8.7
Caron Butler,17.6,6.2,2.5,1.7,0.2,0.455,0.342,0.87,0.112,36.1
Jackie Butler,5.3,3.3,0.5,0.3,0.6,0.544,,0.753,0.078,13.5
Rasual Butler,8.7,2.9,0.5,0.4,0.6,0.406,0.38,0.693,0.045,23.7
Andrew Bynum,1.6,1.7,0.2,0.1,0.5,0.402,,0.296,0.007,7.3
