Player,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS/48,MVP
Nikola Jokić,26.4,12.4,9,1.4,0.9,0.583,0.359,0.817,0.299,1
Joel Embiid,33.1,10.2,4.2,1,1.7,0.548,0.33,0.857,0.259,1
Nikola Jokić,27.1,13.8,7.9,1.5,0.9,0.583,0.337,0.81,0.296,1
Nikola Jokić,26.4,10.8,8.3,1.3,0.7,0.566,0.388,0.868,0.301,1
Giannis Antetokounmpo,29.5,13.6,5.6,1,1,0.553,0.304,0.633,0.279,1
Giannis Antetokounmpo,27.7,12.5,5.9,1.3,1.5,0.578,0.256,0.729,0.292,1
James Harden,30.4,5.4,8.8,1.8,0.7,0.449,0.367,0.858,0.289,1
Russell Westbrook,31.6,10.7,10.4,1.6,0.4,0.425,0.343,0.845,0.224,1
Stephen Curry,30.1,5.4,6.7,2.1,0.2,0.504,0.454,0.908,0.318,1
Stephen Curry,23.8,4.3,7.7,2,0.2,0.487,0.443,0.914,0.288,1
Kevin Durant,32,7.4,5.5,1.3,0.7,0.503,0.391,0.873,0.295,1
LeBron James,26.8,8,7.3,1.7,0.9,0.565,0.406,0.753,0.322,1
LeBron James,27.1,7.9,6.2,1.9,0.8,0.531,0.362,0.771,0.298,1
Derrick Rose,25,4.1,7.7,1,0.6,0.445,0.332,0.858,0.208,1
LeBron James,29.7,7.3,8.6,1.6,1,0.503,0.333,0.767,0.299,1
LeBron James,28.4,7.6,7.2,1.7,1.1,0.489,0.344,0.78,0.318,1
Kobe Bryant,28.3,6.3,5.4,1.8,0.5,0.459,0.361,0.84,0.208,1
Dirk Nowitzki,24.6,8.9,3.4,0.7,0.8,0.502,0.416,0.904,0.278,1
Steve Nash,18.8,4.2,10.5,0.8,0.2,0.512,0.439,0.921,0.212,1
Steve Nash,15.5,3.3,11.5,1,0.1,0.502,0.431,0.887,0.203,1
Kevin Garnett,24.2,13.9,5,1.5,2.2,0.499,0.256,0.791,0.272,1
Tim Duncan,23.3,12.9,3.9,0.7,2.9,0.513,0.273,0.71,0.248,1
Tim Duncan,25.5,12.7,3.7,0.7,2.5,0.508,0.1,0.799,0.257,1
