Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Boston Celtics,8,243.1,42.5,92.3,.461,19.0,50.9,.373,23.5,41.4,.568,19.6,23.9,.822,11.0,32.8,43.8,23.9,8.8,4.8,11.8,16.4,123.6
2,Cleveland Cavaliers,8,240.0,46.1,88.1,.523,15.1,36.6,.413,31.0,51.5,.602,14.9,20.4,.730,7.6,34.0,41.6,28.3,9.9,5.0,12.4,20.8,122.3
3,Golden State Warriors,7,243.6,44.0,92.3,.477,16.4,42.0,.391,27.6,50.3,.548,17.1,24.0,.714,13.9,35.1,49.0,30.4,9.7,6.4,13.9,22.6,121.6
4,Toronto Raptors,8,246.3,44.8,94.6,.473,10.9,32.1,.339,33.9,62.5,.542,19.0,25.1,.756,14.5,31.0,45.5,31.3,9.1,5.9,17.4,26.6,119.4
5,Indiana Pacers,7,247.1,44.7,89.4,.500,11.7,32.9,.357,33.0,56.6,.583,17.3,23.7,.729,9.6,32.6,42.1,30.1,7.3,4.7,15.3,23.4,118.4
6,Sacramento Kings,7,243.6,43.0,88.3,.487,11.3,34.1,.331,31.7,54.1,.586,21.0,25.1,.835,9.0,33.6,42.6,25.1,9.4,4.7,13.9,22.0,118.3
7,Denver Nuggets,7,247.1,41.9,92.0,.455,11.4,30.7,.372,30.4,61.3,.497,23.1,29.3,.790,14.4,32.9,47.3,28.7,9.6,4.9,13.9,20.0,118.3
8,Memphis Grizzlies,8,240.0,43.8,90.0,.486,11.3,32.8,.344,32.5,57.3,.568,18.4,24.9,.739,11.8,35.3,47.0,30.5,7.4,5.9,16.4,23.1,117.1
9,Los Angeles Lakers,7,240.0,40.9,86.6,.472,10.4,29.7,.351,30.4,56.9,.535,24.0,29.6,.812,9.4,32.1,41.6,27.1,7.1,4.0,13.6,16.9,116.1
10,Atlanta Hawks,8,240.0,40.8,87.1,.468,12.5,36.6,.341,28.3,50.5,.559,21.3,27.0,.787,10.0,32.1,42.1,27.0,9.9,5.1,16.5,20.5,115.3
11,Chicago Bulls,7,240.0,40.6,91.6,.443,16.4,43.1,.381,24.1,48.4,.499,17.4,23.0,.758,9.9,38.4,48.3,28.3,6.1,3.7,15.1,17.3,115.0
12,Phoenix Suns,7,243.6,39.3,83.4,.471,14.7,39.0,.377,24.6,44.4,.553,21.1,26.3,.804,7.9,37.0,44.9,27.0,7.4,6.3,14.4,19.1,114.4
13,Washington Wizards,6,240.0,41.0,92.8,.442,12.7,39.8,.318,28.3,53.0,.535,19.0,23.2,.820,9.8,33.0,42.8,26.7,8.0,6.8,14.3,22.5,113.7
14,Brooklyn Nets,8,243.1,40.6,86.3,.471,14.4,40.1,.358,26.3,46.1,.569,17.9,22.9,.781,9.0,30.0,39.0,26.9,8.1,3.8,14.6,26.5,113.5
15,Oklahoma City Thunder,7,240.0,42.7,92.9,.460,13.7,39.4,.348,29.0,53.4,.543,14.1,18.0,.786,8.6,36.4,45.0,25.3,13.1,7.4,12.6,20.4,113.3
16,New York Knicks,6,240.0,42.2,87.2,.484,13.2,31.8,.414,29.0,55.3,.524,15.3,19.0,.807,10.2,30.8,41.0,23.7,7.5,3.5,11.8,16.5,112.8
17,Dallas Mavericks,7,240.0,42.0,91.7,.458,13.4,37.3,.360,28.6,54.4,.525,15.3,20.6,.743,11.6,33.3,44.9,25.1,7.7,5.1,11.6,22.9,112.7
18,Houston Rockets,7,243.6,40.1,95.7,.419,12.7,39.4,.322,27.4,56.3,.487,18.9,24.3,.776,15.3,32.3,47.6,21.3,7.4,4.1,11.7,24.1,111.9
